mascara_id,ventas_2022,ventas_2023,tendencia_busquedas,lanzamiento_pelicula,redes_sociales,precio,categoria,nombre_mascara,clasificacion,distancia_esperada
27,8410,24423,0.6221728076300326,0,21578,1721.3032259281179,superheroe,Máscara Superheroe 27,C,50
28,17170,29246,0.9320649880350891,0,26721,448.6526941890388,terror,Máscara Terror 28,B,25
29,5681,36219,0.1505606825770141,0,2432,1902.5754104965615,harrypotter,Máscara Harry Potter 29,C,50
30,10945,27445,0.7779300597488403,0,5826,2712.063380289916,superheroe,Máscara Superheroe 30,B,25
31,21342,15318,0.7375021698646014,0,49395,2017.5299777628486,harrypotter,Máscara Harry Potter 31,A,10
32,3725,37120,0.8978129378483053,0,31295,2470.130193327247,superheroe,Máscara Superheroe 32,C,50
33,4218,12771,0.5417505758060651,0,30932,1431.8621360728616,harrypotter,Máscara Harry Potter 33,C,50
34,12113,38726,0.3400860876632284,0,45539,2760.375954540963,terror,Máscara Terror 34,B,25
35,4713,13550,0.49006201547096784,0,7514,432.1199645397346,politicos,Máscara Político 35,C,50
36,22965,1703,0.4302620705589505,0,37095,1038.1502252765133,terror,Máscara Terror 36,A,10
37,19834,8383,0.6339701667786396,0,33001,2776.8007928853326,politicos,Máscara Político 37,B,25
38,16538,10252,0.5926812275279854,0,11630,2508.4498202555096,politicos,Máscara Político 38,B,25
39,7544,27999,0.1274051419638247,0,19456,1947.563368247443,disney,Máscara Disney 39,C,50
40,18846,8233,0.4869428630735516,1,40936,558.3610192832011,terror,Máscara Terror 40,B,25
41,12162,14011,0.4977605893364643,1,33753,2465.5134564719983,disney,Máscara Disney 41,B,25
42,23879,13729,0.9626578280664579,1,5394,2500.81188940725,harrypotter,Máscara Harry Potter 42,A,10
43,12248,6844,0.19798259433945248,0,24210,2598.9272285601846,anime,Máscara Anime 43,B,25
44,16556,17617,0.4931311842194377,1,37355,2659.25025856473,politicos,Máscara Político 44,B,25
45,18725,28071,0.7863506109890454,1,49456,874.1862100981439,superheroe,Máscara Superheroe 45,B,25
46,13188,39531,0.8318859252024657,0,30746,2489.3619817204462,harrypotter,Máscara Harry Potter 46,B,25
47,1062,36798,0.19136877935758073,0,19122,441.6316853269559,harrypotter,Máscara Harry Potter 47,C,50
48,14463,12983,0.1624929266948512,1,32932,2803.2884799515086,anime,Máscara Anime 48,B,25
49,6689,11712,0.3955475926577182,0,43122,1689.403879722576,harrypotter,Máscara Harry Potter 49,C,50
50,20668,15791,0.9857974929109088,1,19904,956.4032125289082,terror,Máscara Terror 50,A,10
51,20901,12224,0.198683403893571,1,27566,2059.617164626371,terror,Máscara Terror 51,A,10
52,2691,22345,0.426894239922054,0,14377,2105.218968952995,disney,Máscara Disney 52,C,50
53,2444,4517,0.38496956620671163,0,15762,1677.4076611287387,superheroe,Máscara Superheroe 53,C,50
54,16048,38848,0.40432064167970616,1,21727,1619.5449108064454,disney,Máscara Disney 54,B,25
55,18488,39012,0.7360277112036835,0,24538,573.9740709050943,politicos,Máscara Político 55,B,25
56,20287,17761,0.8778349746421285,1,34371,1960.2332640249604,harrypotter,Máscara Harry Potter 56,A,10
57,12364,21005,0.5135966953089734,0,1879,2343.5169351709205,politicos,Máscara Político 57,B,25
58,18715,11011,0.20228616326503424,0,35850,2997.7049565260077,harrypotter,Máscara Harry Potter 58,B,25
59,16276,20482,0.2839867704805092,1,13982,2638.1092010316966,politicos,Máscara Político 59,B,25
60,1057,23304,0.6678383736551106,1,17028,1245.494877459794,superheroe,Máscara Superheroe 60,C,50
61,1318,21758,0.9868912032833014,1,36719,1856.8759355620787,disney,Máscara Disney 61,C,50
62,10282,24792,0.12346384318609788,1,37331,2673.98479698297,disney,Máscara Disney 62,B,25
63,18310,13987,0.7737457812073216,0,6003,1236.4832798095576,terror,Máscara Terror 63,B,25
64,5417,15604,0.13918028550234396,0,44968,406.5383297051617,anime,Máscara Anime 64,C,50
65,11361,28995,0.8501725524627514,0,6264,507.3770430800578,harrypotter,Máscara Harry Potter 65,B,25
66,15171,2063,0.3023624436782222,0,24677,482.16633953247265,politicos,Máscara Político 66,B,25
67,2131,14115,0.3309773780779802,0,16865,2231.52942306765,harrypotter,Máscara Harry Potter 67,C,50
68,1896,39619,0.9924704199934247,0,46923,357.39451857009226,harrypotter,Máscara Harry Potter 68,C,50
69,8477,18314,0.28730177730957984,0,7362,2896.559110197064,superheroe,Máscara Superheroe 69,C,50
70,3862,7293,0.3011518317039198,1,12187,2515.152950697808,superheroe,Máscara Superheroe 70,C,50
71,16861,23071,0.7931167570840881,1,37191,1386.6324397128099,anime,Máscara Anime 71,B,25
72,14053,9266,0.21777281038733542,0,46308,325.89613690242186,terror,Máscara Terror 72,B,25
73,20386,7945,0.7602288086369702,0,23223,1998.3068188745979,terror,Máscara Terror 73,A,10
74,7330,10213,0.6565218486406647,0,3020,1827.2177939765238,harrypotter,Máscara Harry Potter 74,C,50
75,23833,12687,0.40088021114978667,1,36550,2487.0020814721825,anime,Máscara Anime 75,A,10
76,10899,34123,0.2940430142589993,0,29253,688.0565592267867,anime,Máscara Anime 76,B,25
77,16560,7537,0.8904868718214223,0,12348,2498.2213217252634,disney,Máscara Disney 77,B,25
78,11438,34851,0.6742185281650321,0,9091,1663.8779408225696,harrypotter,Máscara Harry Potter 78,B,25
79,8370,7028,0.6203740844469958,0,3637,1378.7374814834502,politicos,Máscara Político 79,C,50
80,15941,6679,0.18787299916687497,0,1797,991.3288803545925,harrypotter,Máscara Harry Potter 80,B,25
81,5390,16981,0.21804235987419898,0,13408,866.4078067588057,anime,Máscara Anime 81,C,50
82,20996,2710,0.3996978710842619,1,39825,1757.865209354834,terror,Máscara Terror 82,A,10
83,23644,2806,0.6590262403765798,0,46012,1657.9657420299557,terror,Máscara Terror 83,A,10
84,12009,17277,0.5755103564005986,0,14440,2644.6406357665446,disney,Máscara Disney 84,B,25
85,16793,26699,0.30639853265998185,1,21363,1065.4696894702686,anime,Máscara Anime 85,B,25
86,5907,10157,0.6062787675451663,1,41837,2731.765951609881,politicos,Máscara Político 86,C,50
87,12369,19428,0.5860457482534178,1,31046,1934.7955484807935,anime,Máscara Anime 87,B,25
88,5826,24967,0.2610573840162925,0,14860,2937.5315018853844,terror,Máscara Terror 88,C,50
89,16361,21800,0.12766597972455798,0,33654,1935.8498142591461,harrypotter,Máscara Harry Potter 89,B,25
90,5975,21550,0.15833690589057983,0,41988,853.0365264896045,disney,Máscara Disney 90,C,50
91,3726,9569,0.9831019164510979,1,3099,496.17675695175603,terror,Máscara Terror 91,C,50
92,13058,22586,0.1513591362256504,1,19164,2750.476932281283,harrypotter,Máscara Harry Potter 92,B,25
93,11923,10821,0.9174463954421,0,11869,410.6344133210796,anime,Máscara Anime 93,B,25
94,20009,8897,0.2751680264824768,1,38021,2783.1531121493663,terror,Máscara Terror 94,A,10
95,23516,1238,0.10435388430055532,1,21875,524.5518113794424,harrypotter,Máscara Harry Potter 95,A,10
96,15490,29973,0.6684437926973683,0,23650,1280.2741341357869,disney,Máscara Disney 96,B,25
97,8338,4927,0.35218595020333965,1,41065,729.1215481741292,anime,Máscara Anime 97,C,50
98,7144,31009,0.4932912039774697,0,20555,2001.89711405874,disney,Máscara Disney 98,C,50
99,3537,9461,0.5366017019798991,0,2399,2070.7123969072804,harrypotter,Máscara Harry Potter 99,C,50
100,1469,17800,0.14068974406634102,0,14005,672.0329210059072,superheroe,Máscara Superheroe 100,C,50
101,7077,13062,0.4263949003099289,0,26183,711.7285546784037,superheroe,Máscara Superheroe 101,C,50
102,5781,26246,0.1759898400431073,0,19542,1168.0810757836757,harrypotter,Máscara Harry Potter 102,C,50
103,12214,37485,0.4696496731651655,0,8565,384.73150159046554,disney,Máscara Disney 103,B,25
104,20453,8977,0.9401326945126974,1,45927,2506.6187265741137,terror,Máscara Terror 104,A,10
105,1292,14214,0.4409539517090877,1,39698,937.5819035180971,disney,Máscara Disney 105,C,50
106,24289,36099,0.36007984770514134,0,40190,479.7169068770568,terror,Máscara Terror 106,A,10
107,5647,3239,0.673216226283693,0,16418,2167.723170153873,superheroe,Máscara Superheroe 107,C,50
108,15661,14418,0.10835850044210776,1,15491,2310.726995395616,harrypotter,Máscara Harry Potter 108,B,25
109,24373,9917,0.4759435892342815,0,36391,314.61655340378456,politicos,Máscara Político 109,A,10
110,22754,32013,0.5031072365600063,1,20546,2294.6175596097573,superheroe,Máscara Superheroe 110,A,10
111,3689,3447,0.5621934992022458,1,2011,672.9366851921932,harrypotter,Máscara Harry Potter 111,C,50
112,4283,30008,0.3741673719356776,1,40619,2445.3587902886866,harrypotter,Máscara Harry Potter 112,C,50
113,7528,18575,0.11269174472030274,0,15853,2403.5086619690724,anime,Máscara Anime 113,C,50
114,20079,27198,0.6551124667231191,0,21290,694.1265486814582,terror,Máscara Terror 114,A,10
115,24783,12378,0.9954130210960984,0,39670,886.6179829887428,disney,Máscara Disney 115,A,10
116,14252,5937,0.373068110478858,1,1530,362.1686845671411,disney,Máscara Disney 116,B,25
117,2062,34849,0.9073383607030682,0,32403,2798.222894897093,politicos,Máscara Político 117,C,50
118,3108,18948,0.3813051730463545,1,35190,1398.158929319878,terror,Máscara Terror 118,C,50
119,24105,26938,0.3328770856851331,0,23814,1391.7191054128996,terror,Máscara Terror 119,A,10
120,8916,24917,0.7767269476915154,0,8043,2101.359790329145,politicos,Máscara Político 120,C,50
121,19314,2894,0.629916337864602,0,49141,2412.62583508688,harrypotter,Máscara Harry Potter 121,B,25
122,16764,27586,0.873635126744799,1,49281,1208.1336539735787,terror,Máscara Terror 122,B,25
123,22897,24660,0.3460155946024478,0,33385,1633.2156698372762,terror,Máscara Terror 123,A,10
124,1875,11694,0.5598284968704298,0,10260,1986.2840773911723,disney,Máscara Disney 124,C,50
125,10496,5095,0.17273041641809606,1,3506,2586.272081081444,anime,Máscara Anime 125,B,25
126,22436,39417,0.4016605768938284,1,41103,2923.6274729089373,politicos,Máscara Político 126,A,10
127,13673,38521,0.12020508619794357,1,3467,2187.0298226556024,terror,Máscara Terror 127,B,25
128,8587,21313,0.19569222967785016,0,38115,1184.539404775745,terror,Máscara Terror 128,C,50
129,9930,1511,0.6536140437940157,0,2023,1846.4190224735303,disney,Máscara Disney 129,C,50
130,18779,16043,0.15723819760507948,0,1866,2942.0432532409536,superheroe,Máscara Superheroe 130,B,25
131,12699,9117,0.8947979593051921,0,45196,2619.1934567272287,disney,Máscara Disney 131,B,25
132,22951,2325,0.48014277278441786,0,15618,2511.0077075350764,anime,Máscara Anime 132,A,10
133,22640,34269,0.5478901843186365,1,13500,523.0655341199276,harrypotter,Máscara Harry Potter 133,A,10
134,14276,17133,0.4022548019102409,0,21048,1409.109144791932,politicos,Máscara Político 134,B,25
135,11565,32021,0.48165332035512753,0,33382,1921.8206093030944,disney,Máscara Disney 135,B,25
136,10567,38433,0.3210995185967439,0,7729,2069.445327769222,harrypotter,Máscara Harry Potter 136,B,25
137,11010,30889,0.3606479885863665,0,15807,1909.0543972032617,terror,Máscara Terror 137,B,25
138,17270,24995,0.7414806322089147,1,21301,1606.8520925129753,harrypotter,Máscara Harry Potter 138,B,25
139,22345,35698,0.4000790343926047,0,23370,1035.8679230758469,terror,Máscara Terror 139,A,10
140,7861,38719,0.24100850710969907,0,46762,2432.7361275669537,politicos,Máscara Político 140,C,50
141,6617,36937,0.7787071638784785,0,46514,1729.7261288370125,terror,Máscara Terror 141,C,50
142,12439,18101,0.12357980859465993,0,27961,2410.0246270580146,terror,Máscara Terror 142,B,25
143,10643,9979,0.6469073282854516,1,24099,2121.754272514729,superheroe,Máscara Superheroe 143,B,25
144,20710,24212,0.25417565195139263,1,46771,1755.345745358683,disney,Máscara Disney 144,A,10
145,17186,24955,0.3316904804117534,0,12425,281.07467461845954,disney,Máscara Disney 145,B,25
146,22568,31880,0.47831797695998557,1,32729,505.26852759961685,harrypotter,Máscara Harry Potter 146,A,10
147,19193,35275,0.9182798444660649,0,14445,2290.7899448178673,disney,Máscara Disney 147,B,25
148,24194,22265,0.1057716128774776,0,7654,1730.1936776689192,anime,Máscara Anime 148,A,10
149,5140,33466,0.6113204571327631,0,25437,2327.0706580751494,terror,Máscara Terror 149,C,50
150,6220,7137,0.8536645314648156,0,33773,2797.2523817100523,superheroe,Máscara Superheroe 150,C,50
151,23996,33423,0.6460276687947568,1,28596,2671.4761054455066,superheroe,Máscara Superheroe 151,A,10
152,1376,14544,0.618502341422524,0,6217,370.9808462576061,superheroe,Máscara Superheroe 152,C,50
153,22791,18089,0.8596510302215257,1,7148,2828.3055698577045,superheroe,Máscara Superheroe 153,A,10
154,19929,38576,0.8950001093185493,0,9307,549.0621027193042,disney,Máscara Disney 154,B,25
155,7595,2503,0.41813511196854425,0,40157,2486.5744647143965,harrypotter,Máscara Harry Potter 155,C,50
156,7913,6132,0.7181047042473826,0,48050,180.21857920070943,disney,Máscara Disney 156,C,50
157,2554,15969,0.41407691499702914,0,12691,719.4342903406587,harrypotter,Máscara Harry Potter 157,C,50
158,21883,8497,0.705857520392678,0,43248,1765.3463679139197,terror,Máscara Terror 158,A,10
159,22175,28065,0.1628135086760835,0,8345,2843.172227060587,superheroe,Máscara Superheroe 159,A,10
160,21581,2509,0.5589126461648356,1,24978,1616.2766364392255,terror,Máscara Terror 160,A,10
161,24624,29971,0.5381407967361497,1,17520,1880.0297919672516,anime,Máscara Anime 161,A,10
162,23969,12558,0.8148134457108206,0,14954,859.6335100704155,harrypotter,Máscara Harry Potter 162,A,10
163,3082,3107,0.2887503927173266,0,18417,2656.73967626684,superheroe,Máscara Superheroe 163,C,50
164,14349,38690,0.7384467709475284,1,47185,2567.4390848902763,harrypotter,Máscara Harry Potter 164,B,25
165,23463,25076,0.46556846328495727,1,2329,1444.351678620592,harrypotter,Máscara Harry Potter 165,A,10
166,15921,28470,0.6996861642982886,0,6263,2398.1172997918875,disney,Máscara Disney 166,B,25
167,21049,7023,0.2576571489776639,0,4863,495.4248586415729,anime,Máscara Anime 167,A,10
168,17677,3630,0.22401878318630034,1,29982,1084.3508659393226,superheroe,Máscara Superheroe 168,B,25
169,21885,2136,0.3140469138580981,0,38017,1917.2745651627745,superheroe,Máscara Superheroe 169,A,10
170,20607,37387,0.4591361945297322,0,29113,127.41522941066887,terror,Máscara Terror 170,A,10
171,8840,22487,0.616985502929253,0,44868,2997.8492559244014,superheroe,Máscara Superheroe 171,C,50
172,6284,32875,0.3609839613510126,0,34211,1835.3322576562443,disney,Máscara Disney 172,C,50
173,13874,16205,0.1337982346132897,1,41330,2910.6947433574746,harrypotter,Máscara Harry Potter 173,B,25
174,18928,17354,0.2893602693179054,0,14387,130.13589552675148,anime,Máscara Anime 174,B,25
175,4090,13592,0.38096004517323745,1,11873,533.6856361592049,superheroe,Máscara Superheroe 175,C,50
176,8622,24974,0.3899892421040172,0,13792,568.9434836260511,anime,Máscara Anime 176,C,50
177,6518,29084,0.5398717556121152,0,33392,1641.875980819053,superheroe,Máscara Superheroe 177,C,50
178,2311,18563,0.254230299247012,0,4360,2894.3956542979463,terror,Máscara Terror 178,C,50
179,5981,2535,0.2536578890927764,0,30462,1929.0120089087095,terror,Máscara Terror 179,C,50
180,1857,21901,0.27611388351989696,0,4266,601.8186690992738,politicos,Máscara Político 180,C,50
181,8996,31327,0.5456129883202913,1,41292,1857.6199910769394,disney,Máscara Disney 181,C,50
182,3319,34007,0.1845043995706772,0,1288,2862.1181188853343,politicos,Máscara Político 182,C,50
183,10364,3396,0.19919900455509681,0,35303,1105.6006386659287,superheroe,Máscara Superheroe 183,B,25
184,19419,14158,0.5988230028900438,0,44014,1944.0707229209606,disney,Máscara Disney 184,B,25
185,13319,32698,0.6842867367483937,1,25047,172.04295782963118,terror,Máscara Terror 185,B,25
186,1495,4104,0.9835440292109587,0,42482,1463.5378726997026,disney,Máscara Disney 186,C,50
187,19681,11540,0.5903476698741476,0,36224,2467.643130732818,terror,Máscara Terror 187,B,25
188,18683,6727,0.8478375433833217,0,4051,229.95297370213257,superheroe,Máscara Superheroe 188,B,25
189,6249,20814,0.8228913155200448,0,17504,2814.774650441765,superheroe,Máscara Superheroe 189,C,50
190,15611,15236,0.4498391336891203,0,14599,557.2118522632359,superheroe,Máscara Superheroe 190,B,25
191,8231,26936,0.2108525527324439,0,39123,2953.3617820483814,anime,Máscara Anime 191,C,50
192,9814,38966,0.9602382270035125,0,4737,2916.9712486777426,disney,Máscara Disney 192,C,50
193,24790,21703,0.8076055058906411,0,19532,1924.3250613051484,disney,Máscara Disney 193,A,10
194,18273,12683,0.6206853542910935,0,47982,1447.2192824367573,disney,Máscara Disney 194,B,25
195,9916,29480,0.46263821048135334,1,39684,1761.5076894324554,terror,Máscara Terror 195,C,50
196,18151,34439,0.7659579853037741,0,14549,1595.683939630561,terror,Máscara Terror 196,B,25
197,22455,4857,0.13690474278977205,0,32219,289.59871771700637,terror,Máscara Terror 197,A,10
198,10692,37242,0.8061992431366328,1,20023,1550.909240466726,politicos,Máscara Político 198,B,25
199,23922,32445,0.33661852073783805,1,34078,1754.699611191947,terror,Máscara Terror 199,A,10
200,8432,23879,0.3145273137108566,0,8723,663.4303445414748,harrypotter,Máscara Harry Potter 200,C,50
201,22663,36234,0.6716688977812659,0,10554,111.18825229031563,superheroe,Máscara Superheroe 201,A,10
202,14769,18740,0.1525005997832447,0,31434,2283.4520737980015,disney,Máscara Disney 202,B,25
203,12541,21295,0.3584646731171315,0,27586,2021.8306149148607,terror,Máscara Terror 203,B,25
204,14480,13882,0.28689189821049504,0,14219,1106.4866441542745,disney,Máscara Disney 204,B,25
205,6226,3247,0.18422749766245958,0,49515,2000.460882339954,harrypotter,Máscara Harry Potter 205,C,50
206,6575,6647,0.10967455867425499,1,18035,2778.084517371868,disney,Máscara Disney 206,C,50
207,13106,21337,0.7559249371620803,0,15537,1332.2938326759283,terror,Máscara Terror 207,B,25
208,16192,20007,0.3711873414100543,0,34094,2425.2581788409884,anime,Máscara Anime 208,B,25
209,11902,19425,0.3361872437929935,1,27482,2939.151003480618,disney,Máscara Disney 209,B,25
210,9296,28053,0.6245795202520296,1,48204,2110.929847145248,harrypotter,Máscara Harry Potter 210,C,50
211,11820,22706,0.9098302919319071,1,46582,1614.656464083121,politicos,Máscara Político 211,B,25
212,18290,14064,0.14349114640232563,0,32213,2827.0668034714754,disney,Máscara Disney 212,B,25
213,10677,25819,0.47969189331800555,1,7436,1413.6292021792638,superheroe,Máscara Superheroe 213,B,25
214,3537,14676,0.4518959996359255,0,3271,1504.5623060956423,politicos,Máscara Político 214,C,50
215,24464,11680,0.8476309560956018,1,46955,2703.0050261974125,superheroe,Máscara Superheroe 215,A,10
216,22726,16662,0.770339546678057,0,45135,579.7793482229572,harrypotter,Máscara Harry Potter 216,A,10
217,15561,2378,0.8255951365902396,0,34004,1320.2578617185027,superheroe,Máscara Superheroe 217,B,25
218,4262,38368,0.30968512783625557,1,17439,2573.4497563695586,harrypotter,Máscara Harry Potter 218,C,50
219,15639,26083,0.15859352363519297,0,6381,1909.2871070480685,politicos,Máscara Político 219,B,25
220,3133,16529,0.38220071546398127,0,6835,975.8987592316109,harrypotter,Máscara Harry Potter 220,C,50
221,15938,22778,0.18073242620621074,0,45694,1278.8555258850258,disney,Máscara Disney 221,B,25
222,4420,20541,0.6221042122596132,0,39617,2446.963232906972,politicos,Máscara Político 222,C,50
223,7852,23322,0.11223151286244461,0,1238,1712.4459023928396,superheroe,Máscara Superheroe 223,C,50
224,16395,12723,0.9774616475936826,1,46125,1279.6397865701333,anime,Máscara Anime 224,B,25
225,3676,25064,0.2623576676598496,0,5151,223.8705567567663,disney,Máscara Disney 225,C,50
226,16099,19859,0.8155060531604504,0,14959,1239.1269776420957,superheroe,Máscara Superheroe 226,B,25
227,10185,5039,0.12532720801520272,1,18395,705.0401047938185,disney,Máscara Disney 227,B,25
228,21705,8705,0.2646455659584573,0,43547,2783.2682235822626,anime,Máscara Anime 228,A,10
229,18168,20290,0.17305025833874366,0,15686,962.6618056820887,politicos,Máscara Político 229,B,25
230,4960,33436,0.976542437950059,0,34837,1879.874513896387,superheroe,Máscara Superheroe 230,C,50
231,17569,33088,0.16379622868004456,0,28299,2103.92559971485,disney,Máscara Disney 231,B,25
232,1205,33929,0.3489560470705622,0,34670,756.2402224560365,politicos,Máscara Político 232,C,50
233,10472,14154,0.761075716934204,0,11083,1542.8722468502754,harrypotter,Máscara Harry Potter 233,B,25
234,21162,26538,0.8861249970836863,1,34583,2940.483080785884,superheroe,Máscara Superheroe 234,A,10
235,8716,22144,0.9410958298421567,0,33467,2085.3838039428338,terror,Máscara Terror 235,C,50
236,20741,7687,0.6223345619489095,0,18264,1540.824049262722,disney,Máscara Disney 236,A,10
237,20549,30061,0.416587352781598,0,32307,2470.232840419855,politicos,Máscara Político 237,A,10
238,9301,17335,0.5058438079757475,1,27283,1998.5745286939377,anime,Máscara Anime 238,C,50
239,5840,11369,0.9250808331547281,1,24153,1607.5416389843633,disney,Máscara Disney 239,C,50
240,17583,5506,0.7271062621573773,0,22170,2871.9070131152357,politicos,Máscara Político 240,B,25
241,8753,16691,0.7703839662635755,1,49625,2584.252291596947,superheroe,Máscara Superheroe 241,C,50
242,14012,27300,0.8453822143325561,1,41575,475.41635209036076,anime,Máscara Anime 242,B,25
243,22809,19412,0.291953809401126,0,42461,2989.1967404791735,disney,Máscara Disney 243,A,10
244,20924,7717,0.5569868493737229,0,44890,1448.4176558215859,disney,Máscara Disney 244,A,10
245,21400,29443,0.7885352452724734,0,21657,1422.4583934052466,politicos,Máscara Político 245,A,10
246,20847,31533,0.423911065212188,0,41057,1119.1267793632453,harrypotter,Máscara Harry Potter 246,A,10
247,22601,25412,0.7770710342484481,1,33665,499.3426395668521,superheroe,Máscara Superheroe 247,A,10
248,23667,6965,0.14161577296447847,0,3327,530.0193361739503,terror,Máscara Terror 248,A,10
249,13003,15522,0.6007534720222959,0,41864,2998.39441451291,anime,Máscara Anime 249,B,25
250,22847,35092,0.784326105621192,0,37095,2732.7040541342126,anime,Máscara Anime 250,A,10
251,1237,31586,0.12007148767400957,0,28643,1183.936465459719,harrypotter,Máscara Harry Potter 251,C,50
252,19688,21131,0.3662118836160111,0,32657,2910.481343237555,superheroe,Máscara Superheroe 252,B,25
253,17670,16197,0.8278791375453153,0,14337,2601.695796401547,anime,Máscara Anime 253,B,25
254,22871,17011,0.6646025830458466,0,13597,995.1348798568408,anime,Máscara Anime 254,A,10
255,21946,8745,0.5822569071333406,0,34900,1224.3590234789513,superheroe,Máscara Superheroe 255,A,10
256,17499,35849,0.6344072074565917,1,23959,1017.6562732213376,superheroe,Máscara Superheroe 256,B,25
257,1227,15131,0.2773140113549323,0,29321,1442.3314009160645,disney,Máscara Disney 257,C,50
258,18959,35884,0.7463032514512855,0,42202,936.3027399321836,harrypotter,Máscara Harry Potter 258,B,25
259,4174,13619,0.5516049068748269,1,40401,311.7568428280674,politicos,Máscara Político 259,C,50
260,17675,2798,0.37178741655786907,0,34980,2854.922321370881,anime,Máscara Anime 260,B,25
261,24103,35968,0.5886291240933914,0,10671,533.5311083098932,harrypotter,Máscara Harry Potter 261,A,10
262,13321,9891,0.9051079129897094,0,30481,2853.9245101341785,superheroe,Máscara Superheroe 262,B,25
263,1678,23686,0.6834144590288559,0,8165,2822.8905050851354,disney,Máscara Disney 263,C,50
264,11935,31484,0.6151542883756097,1,34999,711.2036887089503,disney,Máscara Disney 264,B,25
265,6669,14484,0.6929673852066565,0,48079,457.8665808286846,disney,Máscara Disney 265,C,50
266,19227,36636,0.24408779916331202,0,39342,1237.6764581036184,harrypotter,Máscara Harry Potter 266,B,25
267,21491,35138,0.6538465909031197,1,8588,1188.4366804292827,politicos,Máscara Político 267,A,10
268,4281,26831,0.30244597703594545,0,41920,508.7030698409294,terror,Máscara Terror 268,C,50
269,7550,36402,0.4150521818966656,0,7664,2972.6655167522904,superheroe,Máscara Superheroe 269,C,50
270,7061,21129,0.7887587436025236,1,16929,1316.9111647051104,disney,Máscara Disney 270,C,50
271,16727,8340,0.8867424106657339,1,45247,1127.795096352801,superheroe,Máscara Superheroe 271,B,25
272,21105,18540,0.1336106044592988,0,10704,2371.8421331484597,harrypotter,Máscara Harry Potter 272,A,10
273,6814,30845,0.7786094948139719,0,43346,1061.5327697516725,harrypotter,Máscara Harry Potter 273,C,50
274,18703,27496,0.15865489642072703,0,18133,578.3091816531187,superheroe,Máscara Superheroe 274,B,25
275,7337,22990,0.6505973368026559,0,40483,165.84281209479013,disney,Máscara Disney 275,C,50
276,4346,2788,0.9888162880227949,0,18752,1377.3711755389538,terror,Máscara Terror 276,C,50
277,17934,25480,0.4533286108626311,0,2605,262.7405752929094,terror,Máscara Terror 277,B,25
278,20290,22511,0.22093190038137805,0,35627,2014.6261114473339,anime,Máscara Anime 278,A,10
279,18740,8995,0.8253311188062231,0,3003,1998.7626219406923,politicos,Máscara Político 279,B,25
280,23191,29255,0.986907743415016,1,38848,2320.9255830336197,harrypotter,Máscara Harry Potter 280,A,10
